filename,decision,destination
Patel et al. - 2020 - Iterative Adaptation of a Tuberculosis Digital Medication Adherence Technology to Meet User Needs Qu.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Patel et al. - 2020 - Iterative Adaptation of a Tuberculosis Digital Medication Adherence Technology to Meet User Needs Qu.txt
Paulino et al. - 2019 - Design of an Integrative System for Configurable Exergames Targeting the Senior Population.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Paulino et al. - 2019 - Design of an Integrative System for Configurable Exergames Targeting the Senior Population.txt
Peahl et al. - 2022 - Experiences With Prenatal Care Delivery Reported by Black Patients With Low Income and by Health Car.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Peahl et al. - 2022 - Experiences With Prenatal Care Delivery Reported by Black Patients With Low Income and by Health Car.txt
Perales-Puchalt et al. - 2022 - A Text Messaging Intervention to Support Latinx Family Caregivers of Individuals With Dementia Cuida.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Perales-Puchalt et al. - 2022 - A Text Messaging Intervention to Support Latinx Family Caregivers of Individuals With Dementia Cuida.txt
Petracca et al. - 2021 - An Electronic Patient Reported Outcome Mobile App for Data Collection in Type A Hemophilia Design an.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Petracca et al. - 2021 - An Electronic Patient Reported Outcome Mobile App for Data Collection in Type A Hemophilia Design an.txt
Petrenko et al. - 2021 - Initial Feasibility of the Families Moving Forward Connect Mobile Health Intervention for Caregivers.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Petrenko et al. - 2021 - Initial Feasibility of the Families Moving Forward Connect Mobile Health Intervention for Caregivers.txt
Pierce et al. - 2024 - Adapting a group based multimodal aphasia treatment for telehealth co design of M MAT Tele.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Pierce et al. - 2024 - Adapting a group based multimodal aphasia treatment for telehealth co design of M MAT Tele.txt
Pillalamarri SS - 2018 - Novel Bluetooth Enabled Tubeless Insulin Pump A User Experience Design Approach for a Connected Digi.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Pillalamarri SS - 2018 - Novel Bluetooth Enabled Tubeless Insulin Pump A User Experience Design Approach for a Connected Digi.txt
Pillsbury et al. - 2021 - Human centered implementation research a new approach to develop and evaluate implementation strateg.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Pillsbury et al. - 2021 - Human centered implementation research a new approach to develop and evaluate implementation strateg.txt
Pimminger S. et al. - 2024 - Towards a User Centered Design Approach for the Development of Social Assistive Robots in Office Env.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Pimminger S. et al. - 2024 - Towards a User Centered Design Approach for the Development of Social Assistive Robots in Office Env.txt
Plant et al. - 2024 - Developing an mHealth program to improve HIV care continuum outcomes among young Black gay and bisex.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Plant et al. - 2024 - Developing an mHealth program to improve HIV care continuum outcomes among young Black gay and bisex.txt
Poduval et al. - 2022 - Web Based Structured Education for Type 2 Diabetes Interdisciplinary User Centered Design Approach.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Poduval et al. - 2022 - Web Based Structured Education for Type 2 Diabetes Interdisciplinary User Centered Design Approach.txt
Poot et al. - 2023 - The Design of a Persuasive Game to Motivate People with Asthma in Adherence to Their Maintenance Med.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Poot et al. - 2023 - The Design of a Persuasive Game to Motivate People with Asthma in Adherence to Their Maintenance Med.txt
Posluszny et al. - 2020 - Promoting Sustainability through Virtual Reality A Case Study of Climate Change Understanding with C.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Posluszny et al. - 2020 - Promoting Sustainability through Virtual Reality A Case Study of Climate Change Understanding with C.txt
Pot et al. - 2018 - Systematically Developing a Web Based Tailored Intervention Promoting HPV Vaccination Acceptability.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Pot et al. - 2018 - Systematically Developing a Web Based Tailored Intervention Promoting HPV Vaccination Acceptability.txt
Preuhs et al. - 2022 - A Tailored Web Based Video Intervention ParentCoach to Support Parents With Children With Sleeping P.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Preuhs et al. - 2022 - A Tailored Web Based Video Intervention ParentCoach to Support Parents With Children With Sleeping P.txt
Prince et al. - 2019 - User Centered Design of a Web Based Tool to Support Management of Chemotherapy Related Toxicities in.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Prince et al. - 2019 - User Centered Design of a Web Based Tool to Support Management of Chemotherapy Related Toxicities in.txt
Priya K. and Upadhyay P. - 2021 - Assistive Devices for One Handed People Using Desktop Manufacturing Methods.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Priya K. and Upadhyay P. - 2021 - Assistive Devices for One Handed People Using Desktop Manufacturing Methods.txt
Quintana et al. - 2007 - User centered design in a large scale naval ship design program Usability testing of complex militar.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Quintana et al. - 2007 - User centered design in a large scale naval ship design program Usability testing of complex militar.txt
Raatz et al. - 2019 - Developing the system architecture for conducting synchronous paediatric feeding assessments via tel.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Raatz et al. - 2019 - Developing the system architecture for conducting synchronous paediatric feeding assessments via tel.txt
Raghu et al. - 2015 - Engineering a mobile health tool for resource poor settings to assess and manage cardiovascular dise.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Raghu et al. - 2015 - Engineering a mobile health tool for resource poor settings to assess and manage cardiovascular dise.txt
Rahimi B. et al. - 2023 - Requirements specification design and evaluation of dental image exchange and management system with.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Rahimi B. et al. - 2023 - Requirements specification design and evaluation of dental image exchange and management system with.txt
Rankine et al. - 2021 - Optimizing e Consultations to Adolescent Medicine Specialists Qualitative Synthesis of Feedback From.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Rankine et al. - 2021 - Optimizing e Consultations to Adolescent Medicine Specialists Qualitative Synthesis of Feedback From.txt
Rao et al. - 2022 - A Novel Method for Digital Pain Assessment Using Abstract Animations Human Centered Design Approach.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Rao et al. - 2022 - A Novel Method for Digital Pain Assessment Using Abstract Animations Human Centered Design Approach.txt
Ray J.M. et al. - 2019 - Computerized clinical decision support system for emergency department initiated buprenorphine for o.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Ray J.M. et al. - 2019 - Computerized clinical decision support system for emergency department initiated buprenorphine for o.txt
Reese et al. - 2021 - A Shared Decision making Tool for Drug Interactions Between Warfarin and Nonsteroidal Anti inflammat.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Reese et al. - 2021 - A Shared Decision making Tool for Drug Interactions Between Warfarin and Nonsteroidal Anti inflammat.txt
Revenas et al. - 2020 - Integrating Key User Characteristics in User Centered Design of Digital Support Systems for Seniors.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Revenas et al. - 2020 - Integrating Key User Characteristics in User Centered Design of Digital Support Systems for Seniors.txt
Revenas et al. - 2023 - Toward digital inclusion of older adults in e health a case study on support for physical activity.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Revenas et al. - 2023 - Toward digital inclusion of older adults in e health a case study on support for physical activity.txt
Richardson J - 2021 - Using a Web Based App to Deliver Rehabilitation Strategies to Persons With Chronic Conditions Develo.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Richardson J - 2021 - Using a Web Based App to Deliver Rehabilitation Strategies to Persons With Chronic Conditions Develo.txt
Rivers et al. - 2023 - Translating an Economic Analysis into a Tool for Public Health Resource Allocation in Cancer Survivo.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Rivers et al. - 2023 - Translating an Economic Analysis into a Tool for Public Health Resource Allocation in Cancer Survivo.txt
Robinson J.A. et al. - 2021 - User centred design of a final results report for participants in multi sensor personal air pollutio.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Robinson J.A. et al. - 2021 - User centred design of a final results report for participants in multi sensor personal air pollutio.txt
Rodriguez et al. - 2021 - Development of a computer aided text message platform for user engagement with a digital Diabetes Pr.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Rodriguez et al. - 2021 - Development of a computer aided text message platform for user engagement with a digital Diabetes Pr.txt
Rodriguez et al. - 2023 - Human centered design of a smartphone based self test for HIV viral load monitoring.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Rodriguez et al. - 2023 - Human centered design of a smartphone based self test for HIV viral load monitoring.txt
Rosenthal et al. - 2023 - Using human centered design to develop a nurse to family telehealth intervention for pediatric trans.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Rosenthal et al. - 2023 - Using human centered design to develop a nurse to family telehealth intervention for pediatric trans.txt
Rostetter et al. - 2022 - Implementing an interprofessional user centered design approach to develop a bedside leg exercise de.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Rostetter et al. - 2022 - Implementing an interprofessional user centered design approach to develop a bedside leg exercise de.txt
Rothgangel A - 2017 - Design and Development of a Telerehabilitation Platform for Patients With Phantom Limb Pain A User C.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Rothgangel A - 2017 - Design and Development of a Telerehabilitation Platform for Patients With Phantom Limb Pain A User C.txt
Rovini et al. - 2024 - Design of a novel wearable system for healthcare applications applying the user centred design appro.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Rovini et al. - 2024 - Design of a novel wearable system for healthcare applications applying the user centred design appro.txt
Rubiano et al. - 2021 - Adaptation and performance of a mobile application for early detection of cutaneous leishmaniasis.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Rubiano et al. - 2021 - Adaptation and performance of a mobile application for early detection of cutaneous leishmaniasis.txt
Rudin et al. - 2021 - User centered design of a scalable electronic health record integrated remote symptom monitoring int.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Rudin et al. - 2021 - User centered design of a scalable electronic health record integrated remote symptom monitoring int.txt
Salmon M. et al. - 2015 - Alternative ultrasound gel for a sustainable ultrasound program Application of human centered design.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Salmon M. et al. - 2015 - Alternative ultrasound gel for a sustainable ultrasound program Application of human centered design.txt
Santhosh et al. - 2022 - Cocreating the ICU PAUSE Tool for Intensive Care Unit Ward Transitions.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Santhosh et al. - 2022 - Cocreating the ICU PAUSE Tool for Intensive Care Unit Ward Transitions.txt
Santos and Silveira - 2020 - AT d8sign methodology to support development of assistive devices focused on user centered design an.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Santos and Silveira - 2020 - AT d8sign methodology to support development of assistive devices focused on user centered design an.txt
Schild et al. - 2019 - A Digital Cognitive Aid for Anesthesia to Support Intraoperative Crisis Management Results of the Us.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Schild et al. - 2019 - A Digital Cognitive Aid for Anesthesia to Support Intraoperative Crisis Management Results of the Us.txt
Schimmer R - 2019 - Digital Person Centered Self Management Support for People With Type 2 Diabetes Qualitative Study Ex.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Schimmer R - 2019 - Digital Person Centered Self Management Support for People With Type 2 Diabetes Qualitative Study Ex.txt
Schleimer et al. - 2020 - A Precision Medicine Tool for Patients With Multiple Sclerosis the Open MS BioScreen Human Centered.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Schleimer et al. - 2020 - A Precision Medicine Tool for Patients With Multiple Sclerosis the Open MS BioScreen Human Centered.txt
Schmidt et al. - 2022 - Learning experience design of an mHealth intervention for parents of children with epilepsy.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Schmidt et al. - 2022 - Learning experience design of an mHealth intervention for parents of children with epilepsy.txt
Schmidt T. et al. - 2019 - Annotator centered design Towards a tool for sentiment and emotion annotation.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Schmidt T. et al. - 2019 - Annotator centered design Towards a tool for sentiment and emotion annotation.txt
Schoonderwoerd et al. - 2021 - Human centered XAI Developing design patterns for explanations of clinical decision support systems.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Schoonderwoerd et al. - 2021 - Human centered XAI Developing design patterns for explanations of clinical decision support systems.txt
Schwartz-Lasfargues et al. - 2022 - Development of a Connected Sensor System in Colorectal Surgery User Centered Design Case Study.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Schwartz-Lasfargues et al. - 2022 - Development of a Connected Sensor System in Colorectal Surgery User Centered Design Case Study.txt
Semaan et al. - 2023 - Tackling the COVID 19 infodemic among Syrian refugees in Lebanon Development and evaluation of the W.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Semaan et al. - 2023 - Tackling the COVID 19 infodemic among Syrian refugees in Lebanon Development and evaluation of the W.txt
Semakula et al. - 2019 - Development of mass media resources to improve the ability of parents of primary school children in.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Semakula et al. - 2019 - Development of mass media resources to improve the ability of parents of primary school children in.txt
Seregni et al. - 2021 - Virtual Coaching for Rehabilitation The Participatory Design Experience of the vCare Project.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Seregni et al. - 2021 - Virtual Coaching for Rehabilitation The Participatory Design Experience of the vCare Project.txt
Shields et al. - 2022 - User Centered Design of A Novel Risk Prediction Behavior Change Tool Augmented With an Artificial In.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Shields et al. - 2022 - User Centered Design of A Novel Risk Prediction Behavior Change Tool Augmented With an Artificial In.txt
Singh A - 2024 - Human centered Design of a Health Recommender System for Orthopaedic Shoulder Treatment.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Singh A - 2024 - Human centered Design of a Health Recommender System for Orthopaedic Shoulder Treatment.txt
Smaradottir et al. - 2016 - The EU project United4Health User centred design of an information system for a Norwegian telemedici.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Smaradottir et al. - 2016 - The EU project United4Health User centred design of an information system for a Norwegian telemedici.txt
Smaradottir et al. - 2019 - User Centered Design of a National Medical Registry for Tick Borne Diseases.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Smaradottir et al. - 2019 - User Centered Design of a National Medical Registry for Tick Borne Diseases.txt
Smith JD - 2020 - Optimizing the implementation of a population panel management intervention in safety net clinics fo.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Smith JD - 2020 - Optimizing the implementation of a population panel management intervention in safety net clinics fo.txt
Sobrinho et al. - 2018 - Design and evaluation of a mobile application to assist the self monitoring of the chronic kidney di.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Sobrinho et al. - 2018 - Design and evaluation of a mobile application to assist the self monitoring of the chronic kidney di.txt
Solem I.K.L. et al. - 2020 - A user centered approach to an evidence based electronic health pain management intervention for peo.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Solem I.K.L. et al. - 2020 - A user centered approach to an evidence based electronic health pain management intervention for peo.txt
Sonney et al. - 2022 - Refinement of a Parent Child Shared Asthma Management Mobile Health App Human Centered Design Study.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Sonney et al. - 2022 - Refinement of a Parent Child Shared Asthma Management Mobile Health App Human Centered Design Study.txt
Speybroeck et al. - 2024 - My Health Coach Community members perspectives on a mobile health tool for adults with fetal alcohol.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Speybroeck et al. - 2024 - My Health Coach Community members perspectives on a mobile health tool for adults with fetal alcohol.txt
Srinivas et al. - 2019 - Context Sensitive Ecological Momentary Assessment Application of User Centered Design for Improving.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Srinivas et al. - 2019 - Context Sensitive Ecological Momentary Assessment Application of User Centered Design for Improving.txt
Stagg B.C. et al. - 2023 - Systematic User centered Design of a Prototype Clinical Decision Support System for Glaucoma.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Stagg B.C. et al. - 2023 - Systematic User centered Design of a Prototype Clinical Decision Support System for Glaucoma.txt
Stawarz et al. - 2020 - Design Considerations for the Integrated Delivery of Cognitive Behavioral Therapy for Depression Use.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Stawarz et al. - 2020 - Design Considerations for the Integrated Delivery of Cognitive Behavioral Therapy for Depression Use.txt
Steele Gray C - 2016 - Improving Patient Experience and Primary Care Quality for Patients With Complex Chronic Disease Usin.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Steele Gray C - 2016 - Improving Patient Experience and Primary Care Quality for Patients With Complex Chronic Disease Usin.txt
Strauss et al. - 2022 - A Patient Outcomes Driven Feedback Platform for Emergency Medicine Clinicians Human Centered Design.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Strauss et al. - 2022 - A Patient Outcomes Driven Feedback Platform for Emergency Medicine Clinicians Human Centered Design.txt
Stringer et al. - 2023 - Decision Aids for Patients With Head and Neck Cancer Qualitative Elicitation of Design Recommendatio.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Stringer et al. - 2023 - Decision Aids for Patients With Head and Neck Cancer Qualitative Elicitation of Design Recommendatio.txt
Stuij et al. - 2020 - Developing a digital training tool to support oncologists in the skill of information provision a us.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Stuij et al. - 2020 - Developing a digital training tool to support oncologists in the skill of information provision a us.txt
Sutcliffe et al. - 2014 - Developing visualization based decision support tools for epidemiology.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Sutcliffe et al. - 2014 - Developing visualization based decision support tools for epidemiology.txt
Szymanski et al. - 2023 - Building a prototype of a continence goal selection tool for children with spina bifida Patient pare.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Szymanski et al. - 2023 - Building a prototype of a continence goal selection tool for children with spina bifida Patient pare.txt
Taylor JR - 2023 - New musical interfaces for older adults in residential care assessing a user centred design approach.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Taylor JR - 2023 - New musical interfaces for older adults in residential care assessing a user centred design approach.txt
Teela et al. - 2022 - Including the voice of paediatric patients Cocreation of an engagement game.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Teela et al. - 2022 - Including the voice of paediatric patients Cocreation of an engagement game.txt
Thomas et al. - 2021 - Creating a Digital Toolkit to Reduce Fatigue and Promote Quality of Life in Multiple Sclerosis Parti.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Thomas et al. - 2021 - Creating a Digital Toolkit to Reduce Fatigue and Promote Quality of Life in Multiple Sclerosis Parti.txt
Timmerman et al. - 2016 - Co creation of an ICT supported cancer rehabilitation application for resected lung cancer survivors.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Timmerman et al. - 2016 - Co creation of an ICT supported cancer rehabilitation application for resected lung cancer survivors.txt
Tonkin et al. - 2017 - A Smartphone App to Reduce Sugar Sweetened Beverage Consumption Among Young Adults in Australian Rem.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Tonkin et al. - 2017 - A Smartphone App to Reduce Sugar Sweetened Beverage Consumption Among Young Adults in Australian Rem.txt
Tran-Nguyen K - 2022 - Mobile App Prototype in Older Adults for Postfracture Acute Pain Management User Centered Design App.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Tran-Nguyen K - 2022 - Mobile App Prototype in Older Adults for Postfracture Acute Pain Management User Centered Design App.txt
Tung F.-W. and Liang P.-K. - 2024 - Wearable Wellness Exploring User Experiences with Fitness Systems on Smartwatches.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Tung F.-W. and Liang P.-K. - 2024 - Wearable Wellness Exploring User Experiences with Fitness Systems on Smartwatches.txt
Turer et al. - 2024 - User Centered Design and Implementation of an Interoperable FHIR Application for Pediatric Pneumonia.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Turer et al. - 2024 - User Centered Design and Implementation of an Interoperable FHIR Application for Pediatric Pneumonia.txt
Ullrich D. et al. - 2024 - The Fernstudent A User Centered Design Case Study on Improvements of Hybrid Teaching Through A Physi.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Ullrich D. et al. - 2024 - The Fernstudent A User Centered Design Case Study on Improvements of Hybrid Teaching Through A Physi.txt
Vaisson et al. - 2021 - User Involvement in the Design and Development of Patient Decision Aids and Other Personal Health To.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Vaisson et al. - 2021 - User Involvement in the Design and Development of Patient Decision Aids and Other Personal Health To.txt
van Bruinessen IR - 2014 - Active patient participation in the development of an online intervention.txt,include,data\fulltext_screening\sorted_based_on_decision\included\van Bruinessen IR - 2014 - Active patient participation in the development of an online intervention.txt
Van De Water L.F. et al. - 2021 - Informing patients with esophagogastric cancer about treatment outcomes by using a web based tool an.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Van De Water L.F. et al. - 2021 - Informing patients with esophagogastric cancer about treatment outcomes by using a web based tool an.txt
Van Deen W.K. et al. - 2019 - Involving end users in the design of an audit and feedback intervention in the emergency department.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Van Deen W.K. et al. - 2019 - Involving end users in the design of an audit and feedback intervention in the emergency department.txt
van der Meer et al. - 2021 - Targeting Personal Recovery of People With Complex Mental Health Needs The Development of a Psychoso.txt,include,data\fulltext_screening\sorted_based_on_decision\included\van der Meer et al. - 2021 - Targeting Personal Recovery of People With Complex Mental Health Needs The Development of a Psychoso.txt
van der Weegen et al. - 2013 - The Development of a Mobile Monitoring and Feedback Tool to Stimulate Physical Activity of People Wi.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\van der Weegen et al. - 2013 - The Development of a Mobile Monitoring and Feedback Tool to Stimulate Physical Activity of People Wi.txt
van der Wees et al. - 2019 - Development of a framework with tools to support the selection and implementation of patient reporte.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\van der Wees et al. - 2019 - Development of a framework with tools to support the selection and implementation of patient reporte.txt
Van Dooren et al. - 2023 - Bridging the Communication Gap Between People With Cognitive Impairments and Their Caregivers Using.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Van Dooren et al. - 2023 - Bridging the Communication Gap Between People With Cognitive Impairments and Their Caregivers Using.txt
van Keulen et al. - 2022 - Development of a Dynamically Tailored mHealth Intervention What Do You Drink to Reduce Excessive Dri.txt,include,data\fulltext_screening\sorted_based_on_decision\included\van Keulen et al. - 2022 - Development of a Dynamically Tailored mHealth Intervention What Do You Drink to Reduce Excessive Dri.txt
van Leersum et al. - 2020 - What matters to me a web based preference elicitation tool for clients in long term care a user cent.txt,include,data\fulltext_screening\sorted_based_on_decision\included\van Leersum et al. - 2020 - What matters to me a web based preference elicitation tool for clients in long term care a user cent.txt
van Lonkhuizen et al. - 2021 - Study Protocol for the Development of a European eHealth Platform to Improve Quality of Life in Indi.txt,include,data\fulltext_screening\sorted_based_on_decision\included\van Lonkhuizen et al. - 2021 - Study Protocol for the Development of a European eHealth Platform to Improve Quality of Life in Indi.txt
van Lonkhuizen P.J.C. et al. - 2024 - Development of the Huntington Support App HD eHelp study a human centered and co design approach.txt,include,data\fulltext_screening\sorted_based_on_decision\included\van Lonkhuizen P.J.C. et al. - 2024 - Development of the Huntington Support App HD eHelp study a human centered and co design approach.txt
Van Ooteghem et al. - 2023 - User centered design of feedback regarding health related behaviors derived from wearables An approa.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Van Ooteghem et al. - 2023 - User centered design of feedback regarding health related behaviors derived from wearables An approa.txt
Vermeulen et al. - 2013 - User centered development and testing of a monitoring system that provides feedback regarding physic.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Vermeulen et al. - 2013 - User centered development and testing of a monitoring system that provides feedback regarding physic.txt
Vermeulen et al. - 2014 - Experiences of Multidisciplinary Development Team Members During User Centered Design of Telecare Pr.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Vermeulen et al. - 2014 - Experiences of Multidisciplinary Development Team Members During User Centered Design of Telecare Pr.txt
Verwey et al. - 2016 - Upgrading physical activity counselling in primary care in the Netherlands.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Verwey et al. - 2016 - Upgrading physical activity counselling in primary care in the Netherlands.txt
Vilaro et al. - 2023 - Information Architects Using Community Engaged and Qualitative Methods to Design a Technology Based.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Vilaro et al. - 2023 - Information Architects Using Community Engaged and Qualitative Methods to Design a Technology Based.txt
Villaverde Naveira A - 2022 - Designing a Social Robot Companion to Support Homecare Usability Results.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Villaverde Naveira A - 2022 - Designing a Social Robot Companion to Support Homecare Usability Results.txt
Volkmann et al. - 2019 - Age appropriate Participatory Design of a Storytelling Voice Input in the Context of Historytelling.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Volkmann et al. - 2019 - Age appropriate Participatory Design of a Storytelling Voice Input in the Context of Historytelling.txt
Volkmann T. et al. - 2020 - Participatory design of historytelling voice assistance with older adults.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Volkmann T. et al. - 2020 - Participatory design of historytelling voice assistance with older adults.txt
Vorrink et al. - 2016 - A Mobile Phone App to Stimulate Daily Physical Activity in Patients with Chronic Obstructive Pulmona.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Vorrink et al. - 2016 - A Mobile Phone App to Stimulate Daily Physical Activity in Patients with Chronic Obstructive Pulmona.txt
Wali S - 2023 - Bridging community and clinic through digital health Community based adaptation of a mobile phone ba.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Wali S - 2023 - Bridging community and clinic through digital health Community based adaptation of a mobile phone ba.txt
Wang et al. - 2023 - Development of a Pictorial Patient Education Handout on Tracheostomy Care A Mixed Method Study.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Wang et al. - 2023 - Development of a Pictorial Patient Education Handout on Tracheostomy Care A Mixed Method Study.txt
Wang N. et al. - 2016 - Readful U Improving reading experience and social interaction for low vision elders.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Wang N. et al. - 2016 - Readful U Improving reading experience and social interaction for low vision elders.txt
Wang S.-M. and Wang S.-T. - 2021 - Conceptual Design of Working from Home Based on Behavior Change in New Normal.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Wang S.-M. and Wang S.-T. - 2021 - Conceptual Design of Working from Home Based on Behavior Change in New Normal.txt
Warnking RP - 2024 - Designing interactive visualizations for analyzing chronic lung diseases in a user centered approach.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Warnking RP - 2024 - Designing interactive visualizations for analyzing chronic lung diseases in a user centered approach.txt
Wegier et al. - 2021 - Home blood pressure data visualization for the management of hypertension using human factors and de.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Wegier et al. - 2021 - Home blood pressure data visualization for the management of hypertension using human factors and de.txt
Weightman et al. - 2010 - Engaging children in healthcare technology design developing rehabilitation technology for children.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Weightman et al. - 2010 - Engaging children in healthcare technology design developing rehabilitation technology for children.txt
Wen KY - 2014 - Preventing postpartum smoking relapse among inner city women development of a theory based and evide.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Wen KY - 2014 - Preventing postpartum smoking relapse among inner city women development of a theory based and evide.txt
Wexler et al. - 2023 - Development and evaluation of a COVID tracking system to support provision of social service in Wyan.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Wexler et al. - 2023 - Development and evaluation of a COVID tracking system to support provision of social service in Wyan.txt
White B.-K. et al. - 2010 - Designing enterprise applications that connect employees on the go.txt,include,data\fulltext_screening\sorted_based_on_decision\included\White B.-K. et al. - 2010 - Designing enterprise applications that connect employees on the go.txt
Wiberg et al. - 2022 - Internet based cognitive behavior therapy for eating disorders Development and feasibility evaluatio.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Wiberg et al. - 2022 - Internet based cognitive behavior therapy for eating disorders Development and feasibility evaluatio.txt
